"Date","MasterCard_Forecast","Visa_Forecast"
3238,384.166699034745,222.481029806447
3239,387.536895063257,222.086715779999
3240,390.827453970661,222.258813865495
3241,394.652164468411,221.799248471944
3242,398.227082213047,221.972370540494
3243,401.770641668892,221.641320580129
3244,405.362535282008,221.657730677166
3245,408.896989885491,221.550169437136
3246,412.488080798024,221.378449216419
3247,416.073233891256,221.45796646412
3248,419.641247382812,221.183667784064
3249,423.216725983423,221.327828284092
3250,426.788360057276,221.082638151125
3251,430.362666553225,221.165955873144
3252,433.938967762614,221.046192359507
3253,437.512775243842,221.008110687664
3254,441.086902989251,221.028913145799
3255,444.661106647542,220.892923096639
3256,448.235306079173,220.995788063382
3257,451.809828276315,220.839155209548
3258,455.384150151399,220.937968663905
3259,458.958405492276,220.838444382214
3260,462.532710732753,220.871268763652
3261,466.107008966749,220.864332165825
3262,469.681335766632,220.821685357396
3263,473.25565491825,220.889386586315
3264,476.829958106961,220.80840421057
3265,480.404266695501,220.899487048298
3266,483.978576558877,220.834008745707
3267,487.552888042198,220.898085069364
3268,491.127199919616,220.885744304084
3269,494.701509782919,220.900142362039
3270,498.275819780772,220.944915930751
3271,501.850130230074,220.921109314395
3272,505.424440767724,220.997674672752
3273,508.998751387957,220.967917295513
3274,512.573061824065,221.04105442381
3275,516.147372208222,221.036460405432
3276,519.721682661182,221.081936144543
3277,523.295993130306,221.115619691219
3278,526.870303604639,221.130922438144
3279,530.444614064998,221.19432300036
3280,534.018924514187,221.195467590609
3281,537.593234970225,221.267194038853
3282,541.167545430069,221.2761366122
3283,544.741855889976,221.336006411243
3284,548.316166348753,221.367388658511
3285,551.890476806068,221.40699609611
3286,555.46478726382,221.461544524173
3287,559.039097722227,221.486322392042
3288,562.613408180655,221.553140872121
3289,566.187718638954,221.576510565388
3290,569.762029097095,221.641228241154
3291,573.336339555242,221.675605906855
3292,576.910650013476,221.728778227464
3293,580.484960471724,221.778949354331
3294,584.059270929955,221.820102149685
3295,587.633581388169,221.882080820775
3296,591.20789184638,221.918080694128
3297,594.7822023046,221.982965871069
3298,598.356512762824,222.022744008719
3299,601.930823221046,222.082472435865
3300,605.505133679266,222.131698840026
3301,609.079444137486,222.183190235307
3302,612.653754595706,222.241797223903
3303,616.228065053927,222.287566219283
3304,619.802375512148,222.350889826874
3305,623.376685970369,222.39650434696
3306,626.95099642859,222.458694454847
3307,630.52530688681,222.509094720153
3308,634.099617345031,222.566485869633
3309,637.673927803252,222.623390389803
3310,641.248238261472,222.676011900522
3311,644.822548719693,222.73759829468
3312,648.396859177914,222.788379063721
3313,651.971169636134,222.850953905064
3314,655.545480094355,222.903517700398
3315,659.119790552576,222.963868078752
3316,662.694101010796,223.020399321796
3317,666.268411469017,223.077412526436
3318,669.842721927238,223.13773598867
3319,673.417032385458,223.192555802588
3320,676.991342843679,223.254684546548
3321,680.5656533019,223.309614108931
3322,684.139963760121,223.371172153852
3323,687.714274218341,223.428171103469
3324,691.288584676562,223.48774238231
3325,694.862895134783,223.547415248729
3326,698.437205593003,223.605101633951
3327,702.011516051224,223.666627111397
3328,705.585826509445,223.723672018298
3329,709.160136967665,223.78552165011
3330,712.734447425886,223.843391647381
3331,716.308757884107,223.904288701893
3332,719.883068342327,223.963820524823
3333,723.457378800548,224.023370260242
3334,727.031689258769,224.084432704407
3335,730.605999716989,224.143148190635
3336,734.18031017521,224.204898413244
3337,737.754620633431,224.26372964096
3338,741.328931091651,224.325204876877
3339,744.903241549872,224.38492667188
3340,748.477552008093,224.445582611873
3341,752.051862466313,224.506401818402
3342,755.626172924534,224.566316215337
3343,759.200483382755,224.627866988034
3344,762.774793840975,224.687565433203
3345,766.349104299196,224.749216877709
3346,769.923414757417,224.809291371158
3347,773.497725215638,224.870537586696
3348,777.072035673858,224.93130655648
3349,780.646346132079,224.992010788422
3350,784.2206565903,225.053396604263
3351,787.79496704852,225.113786396347
3352,791.369277506741,225.175432936199
3353,794.943587964962,225.235899060423
3354,798.517898423182,225.297417103705
3355,802.092208881403,225.358264872618
3356,805.666519339624,225.419446369405
3357,809.240829797844,225.480743817266
3358,812.815140256065,225.541635016864
3359,816.389450714286,225.603220755703
3360,819.963761172506,225.664042937095
3361,823.538071630727,225.725657203332
3362,827.112382088948,225.786648707294
3363,830.686692547168,225.848091634995
3364,834.261003005389,225.909372741543
3365,837.83531346361,225.970598475023
3366,841.40962392183,226.032127807135
3367,844.983934380051,226.093236302048
3368,848.558244838272,226.154863935274
3369,852.132555296492,226.216015500389
3370,855.706865754713,226.277584447646
3371,859.281176212934,226.338898948744
3372,862.855486671154,226.400330188515
3373,866.429797129375,226.461828676426
3374,870.004107587596,226.523146892688
3375,873.578418045817,226.584758757277
3376,877.152728504037,226.646056762933
3377,880.727038962258,226.707675307698
3378,884.301349420479,226.76904880126
3379,887.875659878699,226.830595312038
3380,891.44997033692,226.892089334124
3381,895.024280795141,226.953549157071
3382,898.598591253361,227.015142927424
3383,902.172901711582,227.076559614221
3384,905.747212169803,227.138190228788
3385,909.321522628023,227.199629369555
3386,912.895833086244,227.261233657708
3387,916.470143544465,227.322742126547
3388,920.044454002685,227.38429028949
3389,923.618764460906,227.445873931311
3390,927.193074919127,227.507378360497
3391,930.767385377347,227.569006500701
3392,934.341695835568,227.630505988743
3393,937.916006293789,227.692134905407
3394,941.490316752009,227.75366777072
3395,945.06462721023,227.81526656595
3396,948.638937668451,227.876849502062
3397,952.213248126671,227.938413847089
3398,955.787558584892,228.000036813164
3399,959.361869043113,228.061585549687
3400,962.936179501334,228.123222236254
3401,966.510489959554,228.184782129909
3402,970.084800417775,228.246407177756
3403,973.659110875996,228.307996480532
3404,977.233421334216,228.369598745588
3405,980.807731792437,228.431218722222
3406,984.382042250658,228.492804183393
3407,987.956352708878,228.554441590626
3408,991.530663167099,228.616026407936
3409,995.10497362532,228.677663370711
3410,998.67928408354,228.739262843125
3411,1002.25359454176,228.800887275678
3412,1005.82790499998,228.862507513853
3413,1009.4022154582,228.924118319591
3414,1012.97652591642,228.985754602112
3415,1016.55083637464,229.047359881601
3416,1020.12514683286,229.109001237271
3417,1023.69945729109,229.170611884294
3418,1027.27376774931,229.232248157473
3419,1030.84807820753,229.293871245755
3420,1034.42238866575,229.355498309266
3421,1037.99669912397,229.417133898655
3422,1041.57100958219,229.478754558009
3423,1045.14532004041,229.540396962264
3424,1048.71963049863,229.602017927929
3425,1052.29394095685,229.663659855624
3426,1055.86825141507,229.72528721758
3427,1059.44256187329,229.786923959166
3428,1063.01687233151,229.848559919938
3429,1066.59118278973,229.910191298961
3430,1070.16549324795,229.971833683014
3431,1073.73980370617,230.033463162688
3432,1077.3141141644,230.095107407827
3433,1080.88842462262,230.156739410358
3434,1084.46273508084,230.218381459565
3435,1088.03704553906,230.28001871223
3436,1091.61135599728,230.341657054759
3437,1095.1856664555,230.403299396582
3438,1098.75997691372,230.464935321775
3439,1102.33428737194,230.526580323225
3440,1105.90859783016,230.588216609102
3441,1109.48290828838,230.649861302561
3442,1113.0572187466,230.711500365723
3443,1116.63152920482,230.773142923448
3444,1120.20583966304,230.834785542219
3445,1123.78015012126,230.896426001568
3446,1127.35446057948,230.95807118918
3447,1130.92877103771,231.019711023292
3448,1134.50308149593,231.081356887697
3449,1138.07739195415,231.142997886969
3450,1141.65170241237,231.204642811556
3451,1145.22601287059,231.266286021392
3452,1148.80032332881,231.327929461007
3453,1152.37463378703,231.389574740541
3454,1155.94894424525,231.451217278214
3455,1159.52325470347,231.512863593987
3456,1163.09756516169,231.574506376369
3457,1166.67187561991,231.636152523223
